10;;;;;;;;;;;;;;;;;;;;;;
10;26;;;;;;;;;;;;;;;;;;;;;
10;18;26;;;;;;;;;;;;;;;;;;;;
10;15;18;26;;;;;;;;;;;;;;;;;;;
10;14;15;18;26;;;;;;;;;;;;;;;;;;
10;14;15;17;18;26;;;;;;;;;;;;;;;;;
9;10;14;15;17;18;26;;;;;;;;;;;;;;;;
9;10;14;15;17;18;23;26;;;;;;;;;;;;;;;
9;10;14;15;17;18;23;26;28;;;;;;;;;;;;;;
9;10;14;15;17;18;21;24;26;28;;;;;;;;;;;;;
9;10;12;14;15;17;18;21;24;26;28;;;;;;;;;;;;
3;6;9;10;12;14;15;17;18;21;24;26;;;;;;;;;;;
3;6;9;10;12;14;15;16;17;18;21;24;26;;;;;;;;;;
3;6;9;10;12;14;15;16;17;18;20;22;24;26;;;;;;;;;
3;6;9;10;12;14;15;16;17;18;20;22;24;26;28;;;;;;;;
3;5;7;9;10;12;14;15;16;17;18;20;22;24;26;28;;;;;;;
3;5;7;8;9;10;12;14;15;16;17;18;20;22;24;26;28;;;;;;
3;5;7;8;9;10;12;14;15;16;17;18;20;22;24;26;27;28;;;;;
2;4;5;7;8;9;10;12;14;15;16;17;18;20;22;24;26;27;28;;;;
2;4;5;7;8;9;10;11;13;14;15;16;17;18;20;22;24;26;27;28;;;
2;4;5;7;8;9;10;11;13;14;15;16;17;18;19;21;23;25;26;27;28;;
2;4;5;7;8;9;10;11;13;14;15;16;17;18;19;21;23;25;26;27;28;29;
1;2;4;5;7;8;9;10;11;13;14;15;16;17;18;19;21;23;25;26;27;28;29
